candidate_id,origin,manufacturer,legal_manufacturer,brand_or_distributor,catalog_number,alternate_identifier,product_name,source_evidence,source_scope,original_csv_status,canonical_status_before,exact_identifier_confidence,clinical_scope_disposition,disposition,canonical_product_id,role_assignment,taxonomy_class,taxonomy_subtype,taxonomy_confidence,owner_review_required,rationale
SC-CAND-031,owner_pdf,Axess Vision Technology S.A.S.,Axess Vision Technology S.A.S.,Broncoflex / TSC Life US,10040001,,Broncoflex XFlo 5.6/3.0 Single-Use Bronchoscope,"SRC089: Rendered PDF page 1, Broncoflex ordering panel | SRC092: Broncoflex system and specification tables | SRC094: AccessGUDID Primary DI 03664977000103",exact_product,absent,absent,high,in_scope,new_exact_product_candidate,PRD-2632FFBF07,FLEX_SCOPE_SINGLE_USE,bronchoscope,single_use_video_bronchoscope,high,no,Absent from the old CSV and baseline catalog; owner source plus manufacturer/FDA evidence supports an exact in-scope identity.
SC-CAND-032,owner_pdf,Axess Vision Technology S.A.S.,Axess Vision Technology S.A.S.,Broncoflex / TSC Life US,20030001,,Broncoflex Agile 3.9/1.4 Single-Use Bronchoscope,"SRC089: Rendered PDF page 1, Broncoflex ordering panel | SRC092: Broncoflex system and specification tables | SRC094: AccessGUDID Primary DI 03664977020033",exact_product,absent,absent,high,in_scope,new_exact_product_candidate,PRD-D55094A08A,FLEX_SCOPE_SINGLE_USE,bronchoscope,single_use_video_bronchoscope,high,no,Absent from the old CSV and baseline catalog; owner source plus manufacturer/FDA evidence supports an exact in-scope identity.
SC-CAND-033,owner_pdf,Axess Vision Technology S.A.S.,Axess Vision Technology S.A.S.,Screeni / TSC Life US,30030000,,Screeni Video Processor with Accessories,"SRC089: Rendered PDF page 1, Screeni references 30030000 / 30030001 | SRC093: Screeni technical datasheet",exact_product,absent,absent,high,in_scope,new_exact_product_candidate,PRD-181DE98372,VIDEO_PROCESSOR,console_capital,video_processor,high,no,Separate with-accessories Screeni package; no GTIN copied from base configuration 30030001.
SC-CAND-034,owner_pdf,Axess Vision Technology S.A.S.,Axess Vision Technology S.A.S.,Screeni / TSC Life US,30030001,,Screeni Video Processor without Accessories,"SRC089: Rendered PDF page 1, Screeni references 30030000 / 30030001 | SRC093: Screeni technical datasheet | SRC094: AccessGUDID Primary DI 03664977030032",exact_product,absent,absent,high,in_scope,new_exact_product_candidate,PRD-6F15A8C9B5,VIDEO_PROCESSOR,console_capital,video_processor,high,no,Separate without-accessories Screeni base configuration; exact primary DI corroborated in AccessGUDID.
SC-CAND-035,owner_pdf,Axess Vision Technology S.A.S.,Axess Vision Technology S.A.S.,Broncoflex / Screeni / TSC Life US,41010000,,Easy BAL Clip,"SRC089: Rendered PDF page 1, system-accessory ordering list | SRC092: Broncoflex system component information | SRC094: AccessGUDID Primary DI 03664977000042",exact_product,absent,absent,high,in_scope,new_exact_product_candidate,PRD-0A90C0B244,intentionally_roleless,accessory,platform_accessory,moderate,no,Absent from the old CSV and baseline catalog; owner source plus manufacturer/FDA evidence supports an exact in-scope identity.
SC-CAND-036,owner_pdf,Axess Vision Technology S.A.S.,Axess Vision Technology S.A.S.,Broncoflex / Screeni / TSC Life US,30030303,,Screeni Knurled Screw,"SRC089: Rendered PDF page 1, system-accessory ordering list | SRC092: Broncoflex system component information",exact_product,absent,absent,high,in_scope,new_exact_product_candidate,PRD-1B6B236545,intentionally_roleless,accessory,platform_accessory,moderate,no,Absent from the old CSV and baseline catalog; owner source plus manufacturer/FDA evidence supports an exact in-scope identity.
SC-CAND-037,owner_pdf,Axess Vision Technology S.A.S.,Axess Vision Technology S.A.S.,Broncoflex / Screeni / TSC Life US,30030010,,Screeni Quick Mounting Bracket,"SRC089: Rendered PDF page 1, system-accessory ordering list | SRC092: Broncoflex system component information",exact_product,absent,absent,high,in_scope,new_exact_product_candidate,PRD-07A1B4DA10,intentionally_roleless,accessory,platform_accessory,moderate,no,Absent from the old CSV and baseline catalog; owner source plus manufacturer/FDA evidence supports an exact in-scope identity.
SC-CAND-038,owner_pdf,Axess Vision Technology S.A.S.,Axess Vision Technology S.A.S.,Broncoflex / Screeni / TSC Life US,31010008,,Screeni Medical-Grade Power Supply,"SRC089: Rendered PDF page 1, system-accessory ordering list | SRC092: Broncoflex system component information",exact_product,absent,absent,high,in_scope,new_exact_product_candidate,PRD-AAECD27F75,intentionally_roleless,accessory,platform_accessory,moderate,no,Absent from the old CSV and baseline catalog; owner source plus manufacturer/FDA evidence supports an exact in-scope identity.
SC-CAND-039,owner_pdf,Praxis Medical LLC,Praxis Medical LLC,EndoCore,ENDO-BV-22G-Kit-O,ENDO-BV-22G-O; Primary DI 00850081350033,"EndoCore 22G Bevel Tip EBUS Needle, Olympus Configuration","SRC089: Rendered PDF page 2, EndoCore ordering table | SRC095: EndoCore product and ordering information | SRC096: AccessGUDID Primary DI 00850081350033",exact_product,absent,absent,high,in_scope,new_exact_product_candidate,PRD-1ED27ADA45,EBUS_NEEDLE_FNA,needle,ebus_tbna_needle,high,no,Absent from the old CSV and baseline catalog; owner source plus manufacturer/FDA evidence supports an exact in-scope identity.
SC-CAND-040,owner_pdf,Praxis Medical LLC,Praxis Medical LLC,EndoCore,ENDO-FR-22G-Kit-O,ENDO-FR-22G-O; Primary DI 00850081350040,"EndoCore 22G Franseen EBUS Needle, Olympus Configuration","SRC089: Rendered PDF page 2, EndoCore ordering table | SRC095: EndoCore product and ordering information | SRC096: AccessGUDID Primary DI 00850081350040",exact_product,absent,absent,high,in_scope,new_exact_product_candidate,PRD-AC45D3E510,EBUS_NEEDLE_FNB,needle,ebus_tbna_needle,high,no,Absent from the old CSV and baseline catalog; owner source plus manufacturer/FDA evidence supports an exact in-scope identity.
SC-CAND-041,owner_pdf,Serpex Medical,Serpex Medical,Maverix Narwhal Cryo System / Thoracent,MCB-1000-Kit,,Narwhal Cryobiopsy Probe and Cartridge Kit,"SRC089: Rendered PDF page 3, Narwhal ordering and specification panels | SRC097: K261068, device description and model table",exact_product,absent,absent,high,in_scope,new_exact_product_candidate,PRD-F9BA60E9A6,CRYOPROBE_FLEX,cryotherapy,flexible_cryoprobe,high,no,Absent from the old CSV and baseline catalog; owner source plus manufacturer/FDA evidence supports an exact in-scope identity.
SC-CAND-042,owner_pdf,Serpex Medical,Serpex Medical,Maverix Narwhal Cryo System / Thoracent,MCB-1000-4,MCB-1000,Narwhal Cryobiopsy Probe,"SRC089: Rendered PDF page 3, Narwhal ordering and specification panels | SRC097: K261068, device description and model table",exact_product,absent,absent,high,in_scope,new_exact_product_candidate,PRD-AED3720BF6,CRYOPROBE_FLEX,cryotherapy,flexible_cryoprobe,high,no,Absent from the old CSV and baseline catalog; owner source plus manufacturer/FDA evidence supports an exact in-scope identity.
SC-CAND-043,owner_pdf,Serpex Medical,Serpex Medical,Maverix Narwhal Cryo System / Thoracent,CC-1000-4,CC-1000,Narwhal Cryo Cartridge Pack,"SRC089: Rendered PDF page 3, Narwhal ordering and specification panels | SRC097: K261068, device description and model table",exact_product,absent,absent,high,in_scope,new_exact_product_candidate,PRD-75D987903F,intentionally_roleless,cryotherapy,cryotherapy_accessory,high,no,Exact four-cartridge package is distinct from the probe and kit; shared FDA base model is retained as an alternate identifier.
SC-CAND-044,owner_pdf,DISA Medinotec,DISA Medinotec,Trachealator,TRD1-06030,,"Trachealator Non-Occlusive Airway Balloon, 6 x 30 mm","SRC089: Rendered PDF page 4, visually confirmed Trachealator ordering table | SRC098: Trachealator product page | SRC099: K211894, device description",exact_product,absent,absent,high,in_scope,new_exact_product_candidate,PRD-973D3F9656,AIRWAY_BALLOON_DILATOR,balloon_dilation,airway_balloon_dilator,high,no,Absent from the old CSV and baseline catalog; owner source plus manufacturer/FDA evidence supports an exact in-scope identity.
SC-CAND-045,owner_pdf,DISA Medinotec,DISA Medinotec,Trachealator,TRD1-07030,,"Trachealator Non-Occlusive Airway Balloon, 7 x 30 mm","SRC089: Rendered PDF page 4, visually confirmed Trachealator ordering table | SRC098: Trachealator product page | SRC099: K211894, device description",exact_product,absent,absent,high,in_scope,new_exact_product_candidate,PRD-908A9B501B,AIRWAY_BALLOON_DILATOR,balloon_dilation,airway_balloon_dilator,high,no,Absent from the old CSV and baseline catalog; owner source plus manufacturer/FDA evidence supports an exact in-scope identity.
SC-CAND-046,owner_pdf,DISA Medinotec,DISA Medinotec,Trachealator,TRD1-08030,,"Trachealator Non-Occlusive Airway Balloon, 8 x 30 mm","SRC089: Rendered PDF page 4, visually confirmed Trachealator ordering table | SRC098: Trachealator product page | SRC099: K211894, device description",exact_product,absent,absent,high,in_scope,new_exact_product_candidate,PRD-85B355AE93,AIRWAY_BALLOON_DILATOR,balloon_dilation,airway_balloon_dilator,high,no,Absent from the old CSV and baseline catalog; owner source plus manufacturer/FDA evidence supports an exact in-scope identity.
SC-CAND-047,owner_pdf,DISA Medinotec,DISA Medinotec,Trachealator,TRD1-09030,,"Trachealator Non-Occlusive Airway Balloon, 9 x 30 mm","SRC089: Rendered PDF page 4, visually confirmed Trachealator ordering table | SRC098: Trachealator product page | SRC099: K211894, device description",exact_product,absent,absent,high,in_scope,new_exact_product_candidate,PRD-81878EEA9B,AIRWAY_BALLOON_DILATOR,balloon_dilation,airway_balloon_dilator,high,no,Absent from the old CSV and baseline catalog; owner source plus manufacturer/FDA evidence supports an exact in-scope identity.
SC-CAND-048,owner_pdf,DISA Medinotec,DISA Medinotec,Trachealator,TRD1-10030,,"Trachealator Non-Occlusive Airway Balloon, 10 x 30 mm","SRC089: Rendered PDF page 4, visually confirmed Trachealator ordering table | SRC098: Trachealator product page | SRC099: K211894, device description",exact_product,absent,absent,high,in_scope,new_exact_product_candidate,PRD-BA71A30B4A,AIRWAY_BALLOON_DILATOR,balloon_dilation,airway_balloon_dilator,high,no,Absent from the old CSV and baseline catalog; owner source plus manufacturer/FDA evidence supports an exact in-scope identity.
SC-CAND-049,owner_pdf,DISA Medinotec,DISA Medinotec,Trachealator,TRD1-12040,,"Trachealator Non-Occlusive Airway Balloon, 12 x 40 mm","SRC089: Rendered PDF page 4, visually confirmed Trachealator ordering table | SRC098: Trachealator product page | SRC099: K211894, device description",exact_product,absent,absent,high,in_scope,new_exact_product_candidate,PRD-73A1532E08,AIRWAY_BALLOON_DILATOR,balloon_dilation,airway_balloon_dilator,high,no,Absent from the old CSV and baseline catalog; owner source plus manufacturer/FDA evidence supports an exact in-scope identity.
