product_id,manufacturer,product_name,catalog_number,model_number,research_state,confidence,identity_match_method,rationale,official_fda_evidence_summary,official_manufacturer_evidence_summary,official_fda_safety_action_summary,safety_search_status,safety_action_state,safety_action_scope,safety_action_references,visibility_review_eligibility,conflicts,source_links,proposed_human_review_disposition,reviewer_decision,reviewer_rationale,second_review_required,second_review_decision,second_review_rationale,canonical_change_applied
PRD-00C13A59AA,Richard Wolf,TEXAS Tracheoscope Tube ID 17.1 mm,82520.1441,,identity_unresolved,low,exact_manufacturer_catalog_number,Identity method: exact_manufacturer_catalog_number. UDI assessment: all_exact_configurations_ended. Manufacturer finding: current_non_us. Plausible records could not be tied conservatively to the exact catalog product.,UDI: all_exact_configurations_ended; listing: family_current_listing; authorization: premarket_exempt.,Manufacturer finding: current_non_us; exact source: true.,Safety search: searched; action state: no_exact_action_found; scope: unknown; review eligibility: not_applicable. No exact-product FDA safety action matched this identity.,searched,no_exact_action_found,unknown,,not_applicable,A candidate record has a different model or configuration.|An exact current non-U.S. manufacturer source has unresolved U.S. applicability against ended exact UDI distribution evidence.|Exact product identity remains ambiguous.,https://www.richard-wolf.com/mam/data/Typo3/Kataloge/Broncho-_Thorako-_Mediastinoskopie/Thorakale_Endoskopie_en.pdf|https://api.fda.gov/device/udi.json?search=identifiers.id%3A%2204055207033791%22&limit=100|https://api.fda.gov/device/udi.json?search=catalog_number%3A%2282520.1441%22&limit=100|https://api.fda.gov/device/classification.json?search=product_code%3A%22KTI%22&limit=100|https://api.fda.gov/device/registrationlisting.json?search=products.product_code%3A%22KTI%22&limit=100|https://api.fda.gov/device/enforcement.json?search=code_info%3A%2204055207033791%22&limit=100|https://api.fda.gov/device/enforcement.json?search=product_description%3A%2282520.1441%22&limit=100|https://api.fda.gov/device/recall.json?search=product_description%3A%2282520.1441%22&limit=100|https://api.fda.gov/device/recall.json?search=code_info%3A%2204055207033791%22&limit=100,keep_hidden_identity_unresolved,pending,,false,,,false
PRD-011BE58B2D,Karl Storz,Universal Forceps,10366U,,insufficient_evidence,low,exact_manufacturer_catalog_number,Identity method: exact_manufacturer_catalog_number. UDI assessment: all_exact_configurations_active. Manufacturer finding: no_result. Completed or permitted searches did not establish enough exact current-status evidence; no result is not a discontinuation finding.,UDI: all_exact_configurations_active; listing: search_incomplete; authorization: not_found.,Manufacturer finding: no_result; exact source: false.,Safety search: searched; action state: no_exact_action_found; scope: unknown; review eligibility: not_applicable. No exact-product FDA safety action matched this identity.,searched,no_exact_action_found,unknown,,not_applicable,,https://www.karlstorz.com/us/en/thoracic-surgery-and-pulmonology.htm|https://api.fda.gov/device/udi.json?search=identifiers.id%3A%2204048551046999%22&limit=100|https://api.fda.gov/device/udi.json?search=version_or_model_number%3A%2210366U%22&limit=100|https://api.fda.gov/device/udi.json?search=catalog_number%3A%2210366U%22&limit=100|https://api.fda.gov/device/classification.json?search=product_code%3A%22EOQ%22&limit=100|https://api.fda.gov/device/registrationlisting.json?search=products.product_code%3A%22EOQ%22&limit=100|https://api.fda.gov/device/enforcement.json?search=product_description%3A%2210366+U%22&limit=100|https://api.fda.gov/device/enforcement.json?search=code_info%3A%2204048551046999%22&limit=100|https://api.fda.gov/device/recall.json?search=code_info%3A%2204048551046999%22&limit=100|https://api.fda.gov/device/recall.json?search=product_description%3A%2210366+U%22&limit=100,keep_hidden_insufficient_evidence,pending,,false,,,false
PRD-019030A1C7,Karl Storz,Aspirator for Collecting Secretions with Cut-Off Hole,10432N,,insufficient_evidence,low,none,Identity method: none. UDI assessment: no_exact_result. Manufacturer finding: no_result. Completed or permitted searches did not establish enough exact current-status evidence; no result is not a discontinuation finding.,UDI: no_exact_result; listing: no_result; authorization: not_found.,Manufacturer finding: no_result; exact source: false.,Safety search: searched; action state: no_exact_action_found; scope: unknown; review eligibility: not_applicable. No exact-product FDA safety action matched this identity.,searched,no_exact_action_found,unknown,,not_applicable,,https://www.karlstorz.com/us/en/thoracic-surgery-and-pulmonology.htm|https://api.fda.gov/device/enforcement.json?search=product_description%3A%2210432+N%22&limit=100|https://api.fda.gov/device/recall.json?search=product_description%3A%2210432+N%22&limit=100,keep_hidden_insufficient_evidence,pending,,false,,,false
PRD-01F519887A,Richard Wolf,PANOVIEW ULTRA Telescope,89354426,,insufficient_evidence,low,exact_manufacturer_catalog_number,Identity method: exact_manufacturer_catalog_number. UDI assessment: all_exact_configurations_active. Manufacturer finding: current_non_us. Completed or permitted searches did not establish enough exact current-status evidence; no result is not a discontinuation finding.,UDI: all_exact_configurations_active; listing: search_incomplete; authorization: not_found.,Manufacturer finding: current_non_us; exact source: true.,Safety search: searched; action state: no_exact_action_found; scope: unknown; review eligibility: not_applicable. No exact-product FDA safety action matched this identity.,searched,no_exact_action_found,unknown,,not_applicable,,https://www.richard-wolf.com/mam/data/Typo3/Kataloge/Broncho-_Thorako-_Mediastinoskopie/Thorakale_Endoskopie_en.pdf|https://api.fda.gov/device/udi.json?search=version_or_model_number%3A%2289354426%22&limit=100|https://api.fda.gov/device/udi.json?search=identifiers.id%3A%2204055207058138%22&limit=100|https://api.fda.gov/device/udi.json?search=catalog_number%3A%2289354426%22&limit=100|https://api.fda.gov/device/classification.json?search=product_code%3A%22GCJ%22&limit=100|https://api.fda.gov/device/registrationlisting.json?search=products.product_code%3A%22GCJ%22&limit=100|https://api.fda.gov/device/enforcement.json?search=code_info%3A%2204055207058138%22&limit=100|https://api.fda.gov/device/enforcement.json?search=product_description%3A%2289354426%22&limit=100|https://api.fda.gov/device/recall.json?search=code_info%3A%2204055207058138%22&limit=100|https://api.fda.gov/device/recall.json?search=product_description%3A%2289354426%22&limit=100,keep_hidden_insufficient_evidence,pending,,false,,,false
PRD-0221D4FEAA,Richard Wolf,PANOVIEW ULTRA Telescope,8935461,,insufficient_evidence,low,exact_manufacturer_catalog_number,Identity method: exact_manufacturer_catalog_number. UDI assessment: all_exact_configurations_active. Manufacturer finding: current_non_us. Completed or permitted searches did not establish enough exact current-status evidence; no result is not a discontinuation finding.,UDI: all_exact_configurations_active; listing: search_incomplete; authorization: not_found.,Manufacturer finding: current_non_us; exact source: true.,Safety search: searched; action state: no_exact_action_found; scope: unknown; review eligibility: not_applicable. No exact-product FDA safety action matched this identity.,searched,no_exact_action_found,unknown,,not_applicable,,https://www.richard-wolf.com/mam/data/Typo3/Kataloge/Broncho-_Thorako-_Mediastinoskopie/Thorakale_Endoskopie_en.pdf|https://api.fda.gov/device/udi.json?search=identifiers.id%3A%2204055207058145%22&limit=100|https://api.fda.gov/device/udi.json?search=version_or_model_number%3A%228935461%22&limit=100|https://api.fda.gov/device/udi.json?search=catalog_number%3A%228935461%22&limit=100|https://api.fda.gov/device/classification.json?search=product_code%3A%22GCJ%22&limit=100|https://api.fda.gov/device/registrationlisting.json?search=products.product_code%3A%22GCJ%22&limit=100|https://api.fda.gov/device/enforcement.json?search=product_description%3A%228935461%22&limit=100|https://api.fda.gov/device/enforcement.json?search=code_info%3A%2204055207058145%22&limit=100|https://api.fda.gov/device/recall.json?search=product_description%3A%228935461%22&limit=100|https://api.fda.gov/device/recall.json?search=code_info%3A%2204055207058145%22&limit=100,keep_hidden_insufficient_evidence,pending,,false,,,false
PRD-023092D446,Richard Wolf,"Parenchyma Forceps 50 mm, Curved Right",8242.604,,identity_unresolved,low,exact_manufacturer_catalog_number,Identity method: exact_manufacturer_catalog_number. UDI assessment: all_exact_configurations_ended. Manufacturer finding: current_non_us. Plausible records could not be tied conservatively to the exact catalog product.,UDI: all_exact_configurations_ended; listing: search_incomplete; authorization: premarket_exempt.,Manufacturer finding: current_non_us; exact source: true.,Safety search: searched; action state: no_exact_action_found; scope: unknown; review eligibility: not_applicable. No exact-product FDA safety action matched this identity.,searched,no_exact_action_found,unknown,,not_applicable,A candidate record has a different model or configuration.|An exact current non-U.S. manufacturer source has unresolved U.S. applicability against ended exact UDI distribution evidence.|Exact product identity remains ambiguous.,https://www.richard-wolf.com/mam/data/Typo3/Kataloge/Broncho-_Thorako-_Mediastinoskopie/Thorakale_Endoskopie_en.pdf|https://api.fda.gov/device/udi.json?search=identifiers.id%3A%2204055207014653%22&limit=100|https://api.fda.gov/device/udi.json?search=catalog_number%3A%228242.604%22&limit=100|https://api.fda.gov/device/classification.json?search=product_code%3A%22GEN%22&limit=100|https://api.fda.gov/device/enforcement.json?search=code_info%3A%2204055207014653%22&limit=100|https://api.fda.gov/device/enforcement.json?search=product_description%3A%228242.604%22&limit=100|https://api.fda.gov/device/recall.json?search=product_description%3A%228242.604%22&limit=100|https://api.fda.gov/device/recall.json?search=code_info%3A%2204055207014653%22&limit=100,keep_hidden_identity_unresolved,pending,,false,,,false
PRD-02641F9166,Karl Storz,Round Spoon Biopsy Forceps,10371L,,insufficient_evidence,low,exact_manufacturer_catalog_number,Identity method: exact_manufacturer_catalog_number. UDI assessment: all_exact_configurations_active. Manufacturer finding: no_result. Completed or permitted searches did not establish enough exact current-status evidence; no result is not a discontinuation finding.,UDI: all_exact_configurations_active; listing: search_incomplete; authorization: not_found.,Manufacturer finding: no_result; exact source: false.,Safety search: searched; action state: no_exact_action_found; scope: unknown; review eligibility: not_applicable. No exact-product FDA safety action matched this identity.,searched,no_exact_action_found,unknown,,not_applicable,,https://www.karlstorz.com/us/en/thoracic-surgery-and-pulmonology.htm|https://api.fda.gov/device/udi.json?search=catalog_number%3A%2210371L%22&limit=100|https://api.fda.gov/device/udi.json?search=identifiers.id%3A%2204048551047347%22&limit=100|https://api.fda.gov/device/udi.json?search=version_or_model_number%3A%2210371L%22&limit=100|https://api.fda.gov/device/classification.json?search=product_code%3A%22EOQ%22&limit=100|https://api.fda.gov/device/registrationlisting.json?search=products.product_code%3A%22EOQ%22&limit=100|https://api.fda.gov/device/enforcement.json?search=product_description%3A%2210371+L%22&limit=100|https://api.fda.gov/device/enforcement.json?search=code_info%3A%2204048551047347%22&limit=100|https://api.fda.gov/device/recall.json?search=product_description%3A%2210371+L%22&limit=100|https://api.fda.gov/device/recall.json?search=code_info%3A%2204048551047347%22&limit=100,keep_hidden_insufficient_evidence,pending,,false,,,false
PRD-027269F110,Richard Wolf,TipControl Articulated Scissors,823400003,,current_status_conflicted,moderate,exact_manufacturer_catalog_number,"Identity method: exact_manufacturer_catalog_number. UDI assessment: all_exact_configurations_ended. Manufacturer finding: current_non_us. An exact current non-U.S. manufacturer source has unresolved U.S. applicability against the ended exact UDI evidence, so a high-confidence negative is not supported.",UDI: all_exact_configurations_ended; listing: search_incomplete; authorization: premarket_exempt.,Manufacturer finding: current_non_us; exact source: true.,Safety search: searched; action state: no_exact_action_found; scope: unknown; review eligibility: not_applicable. No exact-product FDA safety action matched this identity.,searched,no_exact_action_found,unknown,,not_applicable,An exact current non-U.S. manufacturer source has unresolved U.S. applicability against ended exact UDI distribution evidence.,https://www.richard-wolf.com/mam/data/Typo3/Kataloge/Broncho-_Thorako-_Mediastinoskopie/Thorakale_Endoskopie_en.pdf|https://api.fda.gov/device/udi.json?search=identifiers.id%3A%2204055207056431%22&limit=100|https://api.fda.gov/device/udi.json?search=version_or_model_number%3A%22823400003%22&limit=100|https://api.fda.gov/device/udi.json?search=catalog_number%3A%22823400003%22&limit=100|https://api.fda.gov/device/classification.json?search=product_code%3A%22LRC%22&limit=100|https://api.fda.gov/device/registrationlisting.json?search=products.product_code%3A%22LRC%22&limit=100|https://api.fda.gov/device/enforcement.json?search=product_description%3A%22823400003%22&limit=100|https://api.fda.gov/device/enforcement.json?search=code_info%3A%2204055207056431%22&limit=100|https://api.fda.gov/device/recall.json?search=code_info%3A%2204055207056431%22&limit=100|https://api.fda.gov/device/recall.json?search=product_description%3A%22823400003%22&limit=100,keep_hidden_conflicting,pending,,false,,,false
PRD-02AD30BCD3,Pulmonx,Zephyr Endobronchial Valve,EBV-TS-4.0-LP,,historically_authorized_current_status_unresolved,moderate,exact_manufacturer_model_number,"Identity method: exact_manufacturer_model_number. UDI assessment: all_exact_configurations_active. Manufacturer finding: not_searched. Marketing authorization is documented separately, but current U.S. distribution is unresolved.",UDI: all_exact_configurations_active; listing: exact_current_listing; authorization: exact_pma_approval.,Manufacturer finding: not_searched; exact source: false.,Safety search: searched; action state: no_exact_action_found; scope: unknown; review eligibility: not_applicable. No exact-product FDA safety action matched this identity.,searched,no_exact_action_found,unknown,,not_applicable,,https://api.fda.gov/device/udi.json?search=version_or_model_number%3A%22EBV-TS-4.0-LP%22&limit=100|https://api.fda.gov/device/udi.json?search=identifiers.id%3A%2200811907030225%22&limit=100|https://api.fda.gov/device/pma.json?search=pma_number%3A%22P180002%22&limit=100|https://api.fda.gov/device/classification.json?search=product_code%3A%22NJK%22&limit=100|https://api.fda.gov/device/registrationlisting.json?search=pma_number%3A%22P180002%22&limit=100|https://api.fda.gov/device/enforcement.json?search=code_info%3A%2200811907030225%22&limit=100|https://api.fda.gov/device/enforcement.json?search=product_description%3A%22EBV-TS-4.0-LP%22&limit=100|https://api.fda.gov/device/recall.json?search=k_numbers%3A%22P180002%22&limit=100|https://api.fda.gov/device/recall.json?search=product_description%3A%22EBV-TS-4.0-LP%22&limit=100|https://api.fda.gov/device/recall.json?search=code_info%3A%2200811907030225%22&limit=100,keep_hidden_insufficient_evidence,pending,,false,,,false
PRD-02DC164D77,Medtronic,Shiley Flexible Evac Tracheostomy Tube,9CN90ED,,identity_unresolved,low,family_or_name_only,Identity method: family_or_name_only. UDI assessment: no_exact_result. Manufacturer finding: not_searched. Plausible records could not be tied conservatively to the exact catalog product.,UDI: no_exact_result; listing: no_result; authorization: not_found.,Manufacturer finding: not_searched; exact source: false.,Safety search: searched; action state: no_exact_action_found; scope: unknown; review eligibility: not_applicable. No exact-product FDA safety action matched this identity.,searched,no_exact_action_found,unknown,,not_applicable,Exact product identity remains ambiguous.|The candidate company is outside the reviewed manufacturer alias group.,https://api.fda.gov/device/udi.json?search=version_or_model_number%3A%229CN90ED%22&limit=100|https://api.fda.gov/device/udi.json?search=identifiers.id%3A%2210884521726246%22&limit=100|https://api.fda.gov/device/enforcement.json?search=code_info%3A%2210884521726246%22&limit=100|https://api.fda.gov/device/enforcement.json?search=product_description%3A%229CN90ED%22&limit=100|https://api.fda.gov/device/recall.json?search=code_info%3A%2210884521726246%22&limit=100|https://api.fda.gov/device/recall.json?search=product_description%3A%229CN90ED%22&limit=100,keep_hidden_identity_unresolved,pending,,false,,,false
