input_row_number,extracted_identifier,extracted_product_name,extracted_manufacturer,source_filename,matched_source_page,disposition,canonical_product_id,canonical_catalog_number,match_basis,evidence_strength,reason_code,owner_review_note
12,Not stated in source,One-Step Centesis Catheter,Merit Medical Systems,401295001.pdf,Document p. not stated (PDF page 1),relevant_family_level_only,,,relevant_family_without_exact_orderable_identifier,moderate,relevant_family_without_exact_orderable_identifier,
293,Not stated in source,ReSolve One-Step Centesis Catheter,Merit Medical Systems,402036009.pdf,Document p. not stated (PDF page 1),relevant_family_level_only,,,relevant_family_without_exact_orderable_identifier,moderate,relevant_family_without_exact_orderable_identifier,
414,MBR-000019,Bronchoscope Valve,"Auris Health, Inc.",AccessGUDID - (&quot;Monarch Bronchoscope&quot;)2.pdf,"PDF page index 1; printed p. 1/2, AccessGUDID exact device row",needs_owner_review,,,needs_owner_review,needs_review,needs_owner_review,"Exact GUDID identity exists, but repository handoff deliberately excludes MBR-000019 because no governed role reaches bronchoscope valves."
425,LBL-007438,aScope 4 Broncho Single-Use Bronchoscope,Ambu,aScope-4-Broncho-Datasheets.pdf,Flexible bronchoscopy platforms!7,source_evidence_conflicted,PRD-A6CF0E2BA4,476101000,source_evidence_conflicted,low,source_evidence_conflicted,"LBL value is the datasheet revision/control number, not the product SKU. The same page prints exact US product number 476101000, already governed."
426,LBL-007439,aScope 4 Broncho Single-Use Bronchoscope,Ambu,aScope-4-Broncho-Datasheets.pdf,Flexible bronchoscopy platforms!8,source_evidence_conflicted,PRD-F2C87C4908,477101000,source_evidence_conflicted,low,source_evidence_conflicted,"LBL value is the datasheet revision/control number, not the product SKU. The same page prints exact US product number 477101000, already governed."
427,LBL-007440,aScope 4 Broncho Single-Use Bronchoscope,Ambu,aScope-4-Broncho-Datasheets.pdf,Flexible bronchoscopy platforms!9,source_evidence_conflicted,PRD-E907C0EB2E,478101000,source_evidence_conflicted,low,source_evidence_conflicted,"LBL value is the datasheet revision/control number, not the product SKU. The same page prints exact US product number 478101000, already governed."
629,MOSS,MOSS Robotic Bronchoscopy System,Body Vision Medical,Brochure-BodyVision_MOSS.pdf,PDF pages 1-3 describe LungVision; PDF page 4 identifies MOSS S.p.A. in the company footer,source_evidence_conflicted,PRD-2C5302C206,,source_evidence_conflicted,low,source_evidence_conflicted,"MOSS is the legacy brochure publisher/company footer, not a product model. The brochure describes the LungVision System already governed."
642,PPD,Fuhrman Pleural/Pneumopericardial Drainage Set,Cook Medical,C_T_PPD_REV6.pdf,PDF p. 1,relevant_family_level_only,,,document_or_family_code_not_orderable_product_identifier,moderate,document_or_family_code_not_orderable_product_identifier,
643,PTISGI2,Blue Rhino G2-Multi Percutaneous Tracheostomy Introducer,Cook Medical,C_T_PTISGI2_REV0 (1).pdf; C_T_PTISGI2_REV0.pdf,PDF p. 1,relevant_family_level_only,,,document_or_family_code_not_orderable_product_identifier,moderate,document_or_family_code_not_orderable_product_identifier,
644,THAL,Thal-Quick Chest Tube Set and Tray,Cook Medical,C_T_THAL_REV11.pdf,PDF p. 1,relevant_family_level_only,,,document_or_family_code_not_orderable_product_identifier,moderate,document_or_family_code_not_orderable_product_identifier,
