product_id,manufacturer,product_name,catalog_number,draft_method,draft_scope,draft_summary,draft_configuration,draft_source_ids,decision,reviewer_id,reviewed_at,rationale
PRD-003C4641E6,CLR Medical,CLR Irrigator,S012-01-019,deterministic_catalog_projection_v1,exact_product,Single-use CLR handpiece with separate suction and irrigation controls for thoracic collections.,The governed source identifies this configuration as catalog S012-01-019.,D2D-SRC-089-001,approved,russell-miller,2026-08-24T00:00:00.000Z,Physician owner approved the bounded profile and removed the unsupported separate suction and irrigation controls claim.
PRD-05670F1B5F,ERBE,Flexible Cryoprobe 2.4 mm,20402-411,deterministic_catalog_projection_v1,exact_product,Single-use flexible cryoprobe listed for the ERBECRYO 2 system.,The governed source identifies this configuration as catalog 20402-411.,D2D-SRC-018-BASE,approved,russell-miller,2026-08-24T00:00:00.000Z,Physician owner approved the normalized profile with one outer-diameter field and one working-length field.
PRD-1ED27ADA45,Praxis Medical LLC,"EndoCore 22G Bevel Tip EBUS Needle, Olympus Configuration",ENDO-BV-22G-Kit-O,deterministic_catalog_projection_v1,exact_product,22 gauge EndoCore EBUS tissue-acquisition needle in the exact Olympus-compatible five-unit ordering configuration.,The governed source identifies this configuration as catalog ENDO-BV-22G-Kit-O.,D2D-SRC-089-001,approved,russell-miller,2026-08-24T00:00:00.000Z,"Physician owner approved the bounded exact-product profile, including the Olympus-compatible five-unit configuration and minimum channel requirement."
PRD-2632FFBF07,Axess Vision Technology S.A.S.,Broncoflex XFlo 5.6/3.0 Single-Use Bronchoscope,10040001,codex_assisted_d2d_pilot,exact_product,The Broncoflex XFlo 5.6/3.0 is a single-use video bronchoscope.,Catalog 10040001 identifies the XFlo configuration with a 3.0 mm working channel and primary DI 03664977000103.,D2D-SRC-092-004|D2D-SRC-094-015,approved,russell-miller,2026-08-24T00:00:00.000Z,Physician owner approved the exact-product summary and exact Broncoflex XFlo configuration.
PRD-3E1556EBE5,Medtronic,"Tricut 4.0 mm Angle-Tip Bronchial Blade, 45 cm",1884035HRE,deterministic_catalog_projection_v1,exact_product,Powered airway blade with exact dimensions and tip geometry listed in Medtronic's current airway ordering table.,The governed source identifies this configuration as catalog 1884035HRE.,D2D-SRC-091-003,approved,russell-miller,2026-08-24T00:00:00.000Z,Physician owner approved the exact blade configuration and bounded the use statement to manufacturer labeling.
PRD-6F15A8C9B5,Axess Vision Technology S.A.S.,Screeni Video Processor without Accessories,30030001,deterministic_catalog_projection_v1,exact_product,Screeni video processor exact ordering configuration for the Broncoflex system.,The governed source identifies this configuration as catalog 30030001.,D2D-SRC-089-001,approved,russell-miller,2026-08-24T00:00:00.000Z,Physician owner approved the exact no-accessories processor configuration without broadening endoscope compatibility beyond reviewed evidence.
PRD-A0655BF464,Karl Storz,"Optical Forceps, large jaws, blunt",10350F,deterministic_catalog_projection_v1,exact_product,"Optical Forceps, large jaws, blunt; fenestrated jaw shape, blunt grooved jaw surface, double action jaws, 47 cm working length.",The governed source identifies this configuration as catalog 10350F.,D2D-SRC-107-BASE,approved,russell-miller,2026-08-24T00:00:00.000Z,Physician owner approved the exact manufacturer-catalog description and configuration.
PRD-AED3720BF6,Serpex Medical,Narwhal Cryobiopsy Probe,MCB-1000-4,deterministic_catalog_projection_v1,configuration_variant,"Narwhal flexible cryobiopsy system component with a 1.3 mm probe shaft, 115 cm working length, and selectable 3-6 mm sampling tip where applicable.",The governed source identifies this configuration as catalog MCB-1000-4.,D2D-SRC-089-001,approved,russell-miller,2026-08-24T00:00:00.000Z,Physician owner approved exact probe wording and removed the vague system-component and where-applicable qualifiers.
PRD-B76AF3D731,Cook Medical,Blue Rhino G2-Multi Percutaneous Tracheostomy Set,G57682,deterministic_catalog_projection_v1,configuration_variant,"Blue Rhino G2-Multi Percutaneous Tracheostomy Set; loading dilator(s) 7.5, 8.5, 9.0 mm; order number G57682 with reference part number C-PTIS-100-HC-G-NA.",The governed source identifies this configuration as catalog G57682.,D2D-SRC-074-BASE,approved,russell-miller,2026-08-24T00:00:00.000Z,Physician owner approved the bounded configuration-variant wording with both order and reference identifiers.
PRD-F4AE2A74E6,Novatech,GSS TD Tracheal Stent,01TD1120,codex_assisted_d2d_pilot,configuration_variant,This product is a GSS TD straight tracheal silicone stent configuration.,Catalog 01TD1120 identifies the 11 OD by 20 L entry in the manufacturer ordering matrix.,D2D-SRC-106-BASE,approved,russell-miller,2026-08-24T00:00:00.000Z,Physician owner approved the configuration-variant profile with explicit millimeter units replacing matrix shorthand.
