product_id,manufacturer,product_name,catalog_number,proposed_match_level,proposed_confidence,conflict_state,candidate_count,reason_codes,query_ids,candidate_primary_dis,candidate_package_dis,candidate_companies,candidate_catalog_models,candidate_submissions,candidate_product_codes,candidate_distribution_fields,candidate_records_json,regulatory_source_ids,decision,reviewer_id,reviewed_at,rationale
PRD-003C4641E6,CLR Medical,CLR Irrigator,S012-01-019,exact_udi_catalog_match,high,none,1,exact_catalog_or_model|exact_di|manufacturer_not_conflicted,D2D-Q-CLR-UDI-00860003054901,00860003054901,00860003054987,CLR Medical,S012-01-019,,,In Commercial Distribution,"[{""record_key"":""0e0fea1d-e853-4e90-acc9-0224abc217d0"",""primary_di"":""00860003054901"",""package_dis"":[""00860003054987""],""company_name"":""CLR Medical"",""brand_name"":""CLR Irrigator"",""catalog_number"":null,""model_number"":""S012-01-019"",""device_name"":null,""k_number"":null,""pma_number"":null,""decision_code"":null,""decision_date"":null,""product_code"":null,""regulation_number"":null,""commercial_distribution_status"":""In Commercial Distribution"",""publish_date"":""2024-05-29"",""query_id"":""D2D-Q-CLR-UDI-00860003054901"",""dataset"":""udi"",""source_refs"":[{""source_id"":""D2D-SRC-FDA-UDI-60FC657A72ED"",""locator"":""D2D-Q-CLR-UDI-00860003054901; request skip 0; record keys 0e0fea1d-e853-4e90-acc9-0224abc217d0""}]}]",D2D-SRC-089-001|D2D-SRC-103-013|D2D-SRC-104-031|D2D-SRC-FDA-UDI-60FC657A72ED,approved,russell-miller,2026-08-24T00:00:00.000Z,"An exact FDA UDI identity record was matched to model S012-01-019. No product-specific premarket clearance or approval conclusion was established in this snapshot. “In Commercial Distribution” is an as-of GUDID field, not proof of present orderability."
PRD-05670F1B5F,ERBE,Flexible Cryoprobe 2.4 mm,20402-411,exact_model_manufacturer_match,high,none,1,exact_catalog_or_model|governed_manufacturer_alias_match,D2D-Q-ERBE-UDI-20402-411,04050147021839,04050147021846,Erbe Elektromedizin GmbH,20402-411,,,In Commercial Distribution,"[{""record_key"":""75fbe42c-49fb-4380-adb3-173ac6824728"",""primary_di"":""04050147021839"",""package_dis"":[""04050147021846""],""company_name"":""Erbe Elektromedizin GmbH"",""brand_name"":""ERBE"",""catalog_number"":""20402-411"",""model_number"":""20402-411"",""device_name"":null,""k_number"":null,""pma_number"":null,""decision_code"":null,""decision_date"":null,""product_code"":null,""regulation_number"":null,""commercial_distribution_status"":""In Commercial Distribution"",""publish_date"":""2020-02-07"",""query_id"":""D2D-Q-ERBE-UDI-20402-411"",""dataset"":""udi"",""source_refs"":[{""source_id"":""D2D-SRC-FDA-UDI-59B18E998C2C"",""locator"":""D2D-Q-ERBE-UDI-20402-411; request skip 0; record keys 75fbe42c-49fb-4380-adb3-173ac6824728""}]}]",D2D-SRC-018-BASE|D2D-SRC-FDA-UDI-59B18E998C2C,approved,russell-miller,2026-08-24T00:00:00.000Z,An exact FDA UDI identity record was matched to ERBE catalog/model 20402-411. No product-specific premarket clearance or approval conclusion was established in this snapshot. Existing D2B active safety action Z-1568-2026 remains independent and unchanged.
PRD-1ED27ADA45,Praxis Medical LLC,"EndoCore 22G Bevel Tip EBUS Needle, Olympus Configuration",ENDO-BV-22G-Kit-O,strong_exact_identity_match,moderate,none,1,catalog_not_confirmed|exact_di|governed_manufacturer_alias_match,D2D-Q-PRAXIS-UDI-00850081350033,00850081350033,10850081350030,PRAXIS MEDICAL LLC,ENDO-BV-22G-O,,,In Commercial Distribution,"[{""record_key"":""1d704797-7111-41dc-b62a-142f4fec4d55"",""primary_di"":""00850081350033"",""package_dis"":[""10850081350030""],""company_name"":""PRAXIS MEDICAL LLC"",""brand_name"":""Olympus Pouch BV"",""catalog_number"":null,""model_number"":""ENDO-BV-22G-O"",""device_name"":null,""k_number"":null,""pma_number"":null,""decision_code"":null,""decision_date"":null,""product_code"":null,""regulation_number"":null,""commercial_distribution_status"":""In Commercial Distribution"",""publish_date"":""2025-11-06"",""query_id"":""D2D-Q-PRAXIS-UDI-00850081350033"",""dataset"":""udi"",""source_refs"":[{""source_id"":""D2D-SRC-FDA-UDI-739E3496CD3E"",""locator"":""D2D-Q-PRAXIS-UDI-00850081350033; request skip 0; record keys 1d704797-7111-41dc-b62a-142f4fec4d55""}]}]",D2D-SRC-089-001|D2D-SRC-095-006|D2D-SRC-096-019|D2D-SRC-FDA-UDI-739E3496CD3E,approved,russell-miller,2026-08-24T00:00:00.000Z,"FDA UDI evidence supports the underlying 22-gauge Olympus bevel-tip configuration and its five-unit package. The GUDID model string does not exactly reproduce catalog ENDO-BV-22G-Kit-O, so the match remains strong exact identity rather than an exact catalog-string match."
PRD-2632FFBF07,Axess Vision Technology S.A.S.,Broncoflex XFlo 5.6/3.0 Single-Use Bronchoscope,10040001,exact_udi_catalog_match,high,none,1,exact_catalog_or_model|exact_di|manufacturer_not_conflicted,D2D-Q-AXESS-XFLO-UDI-03664977000103,03664977000103,,AXESS VISION TECHNOLOGY,10040001,,,In Commercial Distribution,"[{""record_key"":""1182b967-23e2-4170-a8e9-47d05bc32290"",""primary_di"":""03664977000103"",""package_dis"":[],""company_name"":""AXESS VISION TECHNOLOGY"",""brand_name"":""Broncoflex XFlo"",""catalog_number"":null,""model_number"":""10040001"",""device_name"":""Broncoflex XFlo 5.6/3.0"",""k_number"":null,""pma_number"":null,""decision_code"":null,""decision_date"":null,""product_code"":null,""regulation_number"":null,""commercial_distribution_status"":""In Commercial Distribution"",""publish_date"":""2025-07-18"",""query_id"":""D2D-Q-AXESS-XFLO-UDI-03664977000103"",""dataset"":""udi"",""source_refs"":[{""source_id"":""D2D-SRC-FDA-UDI-C8AD11B2D249"",""locator"":""D2D-Q-AXESS-XFLO-UDI-03664977000103; request skip 0; record keys 1182b967-23e2-4170-a8e9-47d05bc32290""}]}]",D2D-SRC-089-001|D2D-SRC-092-004|D2D-SRC-094-015|D2D-SRC-FDA-UDI-C8AD11B2D249,approved,russell-miller,2026-08-24T00:00:00.000Z,An exact FDA UDI identity record was matched to Broncoflex XFlo model 10040001. No product-specific premarket clearance or approval conclusion was established in this snapshot.
PRD-3E1556EBE5,Medtronic,"Tricut 4.0 mm Angle-Tip Bronchial Blade, 45 cm",1884035HRE,ambiguous,unresolved,insufficient_identifiers,0,documented_search_incomplete_for_negative_conclusion,D2D-Q-MEDTRONIC-UDI-1884035HRE,,,,,,,,[],D2D-SRC-091-003|D2D-SRC-FDA-UDI-04C615D462F9,unresolved,russell-miller,2026-08-24T00:00:00.000Z,"The bounded 2026-08-24 openFDA UDI query returned no exact record for catalog 1884035HRE. This does not establish that the product is unlisted, uncleared, unapproved, or unavailable."
PRD-6F15A8C9B5,Axess Vision Technology S.A.S.,Screeni Video Processor without Accessories,30030001,exact_udi_catalog_match,high,none,1,exact_catalog_or_model|exact_di|manufacturer_not_conflicted,D2D-Q-SCREENI-UDI-03664977030032,03664977030032,,AXESS VISION TECHNOLOGY,30030001,,,In Commercial Distribution,"[{""record_key"":""229c29d9-33fa-46b4-a272-3d21c8199552"",""primary_di"":""03664977030032"",""package_dis"":[],""company_name"":""AXESS VISION TECHNOLOGY"",""brand_name"":""Screeni"",""catalog_number"":""30030001"",""model_number"":""30030001"",""device_name"":""Screeni is a non-sterile reusable medical device. It is a video processor with integrated touch interface designed to display live imaging data captured by sterile disposable endoscopes (Broncoflex Agile or Vortex)."",""k_number"":null,""pma_number"":null,""decision_code"":null,""decision_date"":null,""product_code"":null,""regulation_number"":null,""commercial_distribution_status"":""In Commercial Distribution"",""publish_date"":""2020-12-10"",""query_id"":""D2D-Q-SCREENI-UDI-03664977030032"",""dataset"":""udi"",""source_refs"":[{""source_id"":""D2D-SRC-FDA-UDI-18AD1BE46FCA"",""locator"":""D2D-Q-SCREENI-UDI-03664977030032; request skip 0; record keys 229c29d9-33fa-46b4-a272-3d21c8199552""}]}]",D2D-SRC-089-001|D2D-SRC-093-005|D2D-SRC-094-017|D2D-SRC-FDA-UDI-18AD1BE46FCA,approved,russell-miller,2026-08-24T00:00:00.000Z,An exact FDA UDI identity record was matched to Screeni catalog/model 30030001. No product-specific premarket clearance or approval conclusion was established in this snapshot.
PRD-A0655BF464,Karl Storz,"Optical Forceps, large jaws, blunt",10350F,exact_model_manufacturer_match,high,none,1,exact_catalog_or_model|governed_manufacturer_alias_match,D2D-Q-STORZ-UDI-10350F,04048551046692,,Karl Storz GmbH & Co. KG,10350F,,,In Commercial Distribution,"[{""record_key"":""256172b4-7a3e-4d49-8e5e-4125c8065ad2"",""primary_di"":""04048551046692"",""package_dis"":[],""company_name"":""Karl Storz GmbH & Co. KG"",""brand_name"":""n.a."",""catalog_number"":""10350F"",""model_number"":""10350F"",""device_name"":""Optical Forceps, large jaws, blunt"",""k_number"":null,""pma_number"":null,""decision_code"":null,""decision_date"":null,""product_code"":null,""regulation_number"":null,""commercial_distribution_status"":""In Commercial Distribution"",""publish_date"":""2016-09-23"",""query_id"":""D2D-Q-STORZ-UDI-10350F"",""dataset"":""udi"",""source_refs"":[{""source_id"":""D2D-SRC-FDA-UDI-CDCD8F0A0F43"",""locator"":""D2D-Q-STORZ-UDI-10350F; request skip 0; record keys 256172b4-7a3e-4d49-8e5e-4125c8065ad2""}]}]",D2D-SRC-107-BASE|D2D-SRC-FDA-UDI-CDCD8F0A0F43,approved,russell-miller,2026-08-24T00:00:00.000Z,An exact FDA UDI identity record was matched to KARL STORZ catalog/model 10350F. No product-specific premarket clearance or approval conclusion was established in this snapshot.
PRD-AED3720BF6,Serpex Medical,Narwhal Cryobiopsy Probe,MCB-1000-4,family_level_match,moderate,none,1,exact_catalog_not_established|premarket_family_candidate,D2D-Q-SERPEX-510K-K261068|D2D-Q-SERPEX-LISTING-K261068|D2D-Q-SERPEX-UDI-MCB-1000-4,,,Serpex Medical,,K261068,GEH,,"[{""record_key"":null,""primary_di"":null,""package_dis"":[],""company_name"":""Serpex Medical"",""brand_name"":null,""catalog_number"":null,""model_number"":null,""device_name"":""Maverix Cryo Biopsy Probe (MCB1000);Maverix Cryo Cartridge (CC1000)"",""k_number"":""K261068"",""pma_number"":null,""decision_code"":""SESE"",""decision_date"":""2026-06-30"",""product_code"":""GEH"",""regulation_number"":""878.4350"",""commercial_distribution_status"":null,""publish_date"":null,""query_id"":""D2D-Q-SERPEX-510K-K261068"",""dataset"":""510k"",""source_refs"":[{""source_id"":""D2D-SRC-FDA-510K-9D8612D0889F"",""locator"":""D2D-Q-SERPEX-510K-K261068; request skip 0; record keys K261068""}]}]",D2D-SRC-089-001|D2D-SRC-097-007|D2D-SRC-FDA-510K-9D8612D0889F|D2D-SRC-FDA-REGISTRATIONLISTING-E6B9A9B73F6A|D2D-SRC-FDA-UDI-4760F1CEE4E5,approved,russell-miller,2026-08-24T00:00:00.000Z,FDA 510(k) K261068 was cleared as substantially equivalent for the Maverix Cryo Biopsy Probe (MCB1000) and Maverix Cryo Cartridge (CC1000) family. Exact linkage of catalog MCB-1000-4 to that submission was not established in this snapshot. MCB-1000-4 itself must not be rendered as exactly 510(k)-cleared.
PRD-B76AF3D731,Cook Medical,Blue Rhino G2-Multi Percutaneous Tracheostomy Set,G57682,ambiguous,unresolved,insufficient_identifiers,0,documented_search_incomplete_for_negative_conclusion,D2D-Q-COOK-UDI-G57682,,,,,,,,[],D2D-SRC-074-BASE|D2D-SRC-FDA-UDI-9C87E69FF6AC,unresolved,russell-miller,2026-08-24T00:00:00.000Z,"The bounded 2026-08-24 openFDA UDI query returned no exact record for order G57682. This does not establish that the product is unlisted, uncleared, unapproved, or unavailable."
PRD-F4AE2A74E6,Novatech,GSS TD Tracheal Stent,01TD1120,ambiguous,unresolved,insufficient_identifiers,0,documented_search_incomplete_for_negative_conclusion,D2D-Q-NOVATECH-UDI-01TD1120,,,,,,,,[],D2D-SRC-106-BASE|D2D-SRC-FDA-UDI-8DCCC9F9E79D,unresolved,russell-miller,2026-08-24T00:00:00.000Z,"The bounded 2026-08-24 openFDA UDI query returned no exact record for catalog 01TD1120. This does not establish that the product is unlisted, uncleared, unapproved, or unavailable."
