product_id,manufacturer,product_name,catalog_number,model_number,research_state,confidence,identity_match_method,rationale,official_fda_evidence_summary,official_manufacturer_evidence_summary,official_fda_safety_action_summary,safety_search_status,safety_action_state,safety_action_scope,safety_action_references,visibility_review_eligibility,conflicts,source_links,proposed_human_review_disposition,reviewer_decision,reviewer_rationale,second_review_required,second_review_decision,second_review_rationale,canonical_change_applied
PRD-00C13A59AA,Richard Wolf,TEXAS Tracheoscope Tube ID 17.1 mm,82520.1441,,identity_unresolved,low,exact_manufacturer_catalog_number,Identity method: exact_manufacturer_catalog_number. UDI assessment: all_exact_configurations_ended. Manufacturer finding: current_non_us. Plausible records could not be tied conservatively to the exact catalog product.,UDI: all_exact_configurations_ended; listing: family_current_listing; authorization: premarket_exempt.,Manufacturer finding: current_non_us; exact source: true.,Safety search: searched; action state: no_exact_action_found; scope: unknown; review eligibility: not_applicable. No exact-product FDA safety action matched this identity.,searched,no_exact_action_found,unknown,,not_applicable,A candidate record has a different model or configuration.|An exact current non-U.S. manufacturer source has unresolved U.S. applicability against ended exact UDI distribution evidence.|Exact product identity remains ambiguous.,https://www.richard-wolf.com/mam/data/Typo3/Kataloge/Broncho-_Thorako-_Mediastinoskopie/Thorakale_Endoskopie_en.pdf|https://api.fda.gov/device/udi.json?search=identifiers.id%3A%2204055207033791%22&limit=100|https://api.fda.gov/device/udi.json?search=catalog_number%3A%2282520.1441%22&limit=100|https://api.fda.gov/device/classification.json?search=product_code%3A%22KTI%22&limit=100|https://api.fda.gov/device/registrationlisting.json?search=products.product_code%3A%22KTI%22&limit=100|https://api.fda.gov/device/enforcement.json?search=code_info%3A%2204055207033791%22&limit=100|https://api.fda.gov/device/enforcement.json?search=product_description%3A%2282520.1441%22&limit=100|https://api.fda.gov/device/recall.json?search=product_description%3A%2282520.1441%22&limit=100|https://api.fda.gov/device/recall.json?search=code_info%3A%2204055207033791%22&limit=100,keep_hidden_identity_unresolved,pending,,false,,,false
PRD-019030A1C7,Karl Storz,Aspirator for Collecting Secretions with Cut-Off Hole,10432N,,insufficient_evidence,low,none,Identity method: none. UDI assessment: no_exact_result. Manufacturer finding: no_result. Completed or permitted searches did not establish enough exact current-status evidence; no result is not a discontinuation finding.,UDI: no_exact_result; listing: no_result; authorization: not_found.,Manufacturer finding: no_result; exact source: false.,Safety search: searched; action state: no_exact_action_found; scope: unknown; review eligibility: not_applicable. No exact-product FDA safety action matched this identity.,searched,no_exact_action_found,unknown,,not_applicable,,https://www.karlstorz.com/us/en/thoracic-surgery-and-pulmonology.htm|https://api.fda.gov/device/enforcement.json?search=product_description%3A%2210432+N%22&limit=100|https://api.fda.gov/device/recall.json?search=product_description%3A%2210432+N%22&limit=100,keep_hidden_insufficient_evidence,pending,,false,,,false
PRD-0410844D48,Cook Medical,Fuhrman Pleural/Pneumopericardial Drainage Set and Tray,G55713,,identity_unresolved,low,family_or_name_only,Identity method: family_or_name_only. UDI assessment: no_exact_result. Manufacturer finding: family_only_current. Plausible records could not be tied conservatively to the exact catalog product.,UDI: no_exact_result; listing: no_result; authorization: not_found.,Manufacturer finding: family_only_current; exact source: false.,Safety search: searched; action state: no_exact_action_found; scope: unknown; review eligibility: not_applicable. No exact-product FDA safety action matched this identity.,searched,no_exact_action_found,unknown,,not_applicable,Exact product identity remains ambiguous.|The candidate company is outside the reviewed manufacturer alias group.,https://www.cookmedical.com/products/cc_utpt_webds/|https://api.fda.gov/device/udi.json?search=identifiers.id%3A%2200827002557130%22&limit=100|https://api.fda.gov/device/udi.json?search=version_or_model_number%3A%22G55713%22&limit=100|https://api.fda.gov/device/enforcement.json?search=product_description%3A%22G55713%22&limit=100|https://api.fda.gov/device/enforcement.json?search=code_info%3A%2200827002557130%22&limit=100|https://api.fda.gov/device/recall.json?search=code_info%3A%2200827002557130%22&limit=100|https://api.fda.gov/device/recall.json?search=product_description%3A%22G55713%22&limit=100,keep_hidden_identity_unresolved,pending,,false,,,false
PRD-070884900C,Cook Medical,Multipurpose Plastic Tubing Adapter,G05302,,identity_unresolved,low,family_or_name_only,Identity method: family_or_name_only. UDI assessment: no_exact_result. Manufacturer finding: family_only_current. Plausible records could not be tied conservatively to the exact catalog product.,UDI: no_exact_result; listing: no_result; authorization: not_found.,Manufacturer finding: family_only_current; exact source: false.,Safety search: searched; action state: no_exact_action_found; scope: unknown; review eligibility: not_applicable. No exact-product FDA safety action matched this identity.,searched,no_exact_action_found,unknown,,not_applicable,Exact product identity remains ambiguous.|The candidate company is outside the reviewed manufacturer alias group.,https://www.cookmedical.com/products/cc_utpt_webds/|https://api.fda.gov/device/udi.json?search=version_or_model_number%3A%22G05302%22&limit=100|https://api.fda.gov/device/udi.json?search=identifiers.id%3A%2200827002053021%22&limit=100|https://api.fda.gov/device/enforcement.json?search=product_description%3A%22G05302%22&limit=100|https://api.fda.gov/device/enforcement.json?search=code_info%3A%2200827002053021%22&limit=100|https://api.fda.gov/device/recall.json?search=product_description%3A%22G05302%22&limit=100|https://api.fda.gov/device/recall.json?search=code_info%3A%2200827002053021%22&limit=100,keep_hidden_identity_unresolved,pending,,false,,,false
PRD-075C3EC5EE,FUJIFILM SonoSite,SonoSite L13-6 Transducer,L13-6,,insufficient_evidence,low,none,Identity method: none. UDI assessment: no_exact_result. Manufacturer finding: not_searched. Completed or permitted searches did not establish enough exact current-status evidence; no result is not a discontinuation finding.,UDI: no_exact_result; listing: no_result; authorization: not_found.,Manufacturer finding: not_searched; exact source: false.,Safety search: not_searched; action state: unknown; scope: unknown; review eligibility: not_applicable. No exact-product FDA safety action matched this identity.,not_searched,unknown,unknown,,not_applicable,,https://www.sonosite.com/sites/default/files/Sonosite_LX_product_brochure_MKT03597_US_rev_C.pdf,keep_hidden_insufficient_evidence,pending,,false,,,false
PRD-0A2ABE77F9,Karl Storz,Aspirator for Collecting Secretions without Cut-Off Hole,10432T,,insufficient_evidence,low,none,Identity method: none. UDI assessment: no_exact_result. Manufacturer finding: no_result. Completed or permitted searches did not establish enough exact current-status evidence; no result is not a discontinuation finding.,UDI: no_exact_result; listing: no_result; authorization: not_found.,Manufacturer finding: no_result; exact source: false.,Safety search: searched; action state: no_exact_action_found; scope: unknown; review eligibility: not_applicable. No exact-product FDA safety action matched this identity.,searched,no_exact_action_found,unknown,,not_applicable,,https://www.karlstorz.com/us/en/thoracic-surgery-and-pulmonology.htm|https://api.fda.gov/device/enforcement.json?search=product_description%3A%2210432+T%22&limit=100|https://api.fda.gov/device/recall.json?search=product_description%3A%2210432+T%22&limit=100,keep_hidden_insufficient_evidence,pending,,false,,,false
PRD-0D6E4DB711,Olympus,ViziShot 2 FLEX EBUS FNA/FNB Needle,NA-U403SX-4019,,identity_unresolved,low,family_or_name_only,Identity method: family_or_name_only. UDI assessment: no_exact_result. Manufacturer finding: not_searched. Plausible records could not be tied conservatively to the exact catalog product.,UDI: no_exact_result; listing: no_result; authorization: not_found.,Manufacturer finding: not_searched; exact source: false.,"Safety search: searched; action state: active_exact_product_action; scope: product_wide; review eligibility: not_applicable. Z-2484-2025 (event 97303, Class I, status Ongoing / Open, Classified, initiated 2025-08-06, matched 00821925043060/NA-U403SX-4019, reported by device_enforcement and device_recall). A safety action is not discontinuation evidence.",searched,active_exact_product_action,product_wide,Z-2484-2025 (event 97303),not_applicable,Exact product identity remains ambiguous.|The candidate company is outside the reviewed manufacturer alias group.,https://api.fda.gov/device/udi.json?search=version_or_model_number%3A%22NA-U403SX-4019%22&limit=100|https://api.fda.gov/device/udi.json?search=identifiers.id%3A%2200821925043060%22&limit=100|https://api.fda.gov/device/enforcement.json?search=code_info%3A%2200821925043060%22&limit=100|https://api.fda.gov/device/enforcement.json?search=product_description%3A%22NA-U403SX-4019%22&limit=100|https://api.fda.gov/device/recall.json?search=code_info%3A%2200821925043060%22&limit=100|https://api.fda.gov/device/recall.json?search=product_description%3A%22NA-U403SX-4019%22&limit=100,keep_hidden_identity_unresolved,pending,,false,,,false
PRD-129E6C270A,Karl Storz,"Single-Use Plastic Collection Device, Pack of 100",10432ED,,insufficient_evidence,low,none,Identity method: none. UDI assessment: no_exact_result. Manufacturer finding: no_result. Completed or permitted searches did not establish enough exact current-status evidence; no result is not a discontinuation finding.,UDI: no_exact_result; listing: no_result; authorization: not_found.,Manufacturer finding: no_result; exact source: false.,Safety search: searched; action state: no_exact_action_found; scope: unknown; review eligibility: not_applicable. No exact-product FDA safety action matched this identity.,searched,no_exact_action_found,unknown,,not_applicable,,https://www.karlstorz.com/us/en/thoracic-surgery-and-pulmonology.htm|https://api.fda.gov/device/enforcement.json?search=product_description%3A%2210432+ED%22&limit=100|https://api.fda.gov/device/recall.json?search=product_description%3A%2210432+ED%22&limit=100,keep_hidden_insufficient_evidence,pending,,false,,,false
PRD-16096E045B,Verathon,BFlex 2 Slim 3.8 Single-Use Bronchoscope,BFlex 2 Slim 3.8,,identity_unresolved,low,family_or_name_only,Identity method: family_or_name_only. UDI assessment: no_exact_result. Manufacturer finding: family_only_current. Plausible records could not be tied conservatively to the exact catalog product.,UDI: no_exact_result; listing: no_result; authorization: not_found.,Manufacturer finding: family_only_current; exact source: false.,Safety search: searched; action state: no_exact_action_found; scope: unknown; review eligibility: not_applicable. No exact-product FDA safety action matched this identity.,searched,no_exact_action_found,unknown,,not_applicable,,https://www.verathon.com/single-use-bronchoscopes|https://api.fda.gov/device/udi.json?search=identifiers.id%3A%2200879123008558%22&limit=100|https://api.fda.gov/device/enforcement.json?search=product_description%3A%22BFLEX+2+SLIM+3.8%22&limit=100|https://api.fda.gov/device/enforcement.json?search=code_info%3A%2200879123008558%22&limit=100|https://api.fda.gov/device/recall.json?search=code_info%3A%2200879123008558%22&limit=100|https://api.fda.gov/device/recall.json?search=product_description%3A%22BFLEX+2+SLIM+3.8%22&limit=100,keep_hidden_identity_unresolved,pending,,false,,,false
PRD-1708F37D2C,ERBE,"APCapplicator, Rigid, 100 mm, Spatula Electrode",20132-252,,current_status_conflicted,moderate,exact_manufacturer_catalog_number,"Identity method: exact_manufacturer_catalog_number. UDI assessment: conflicting_exact_configuration_statuses. Manufacturer finding: not_searched. Conflicting package, distribution, identity, or source evidence prevents a current-status conclusion.",UDI: conflicting_exact_configuration_statuses; listing: exact_current_listing; authorization: exact_510k_clearance.,Manufacturer finding: not_searched; exact source: false.,Safety search: searched; action state: no_exact_action_found; scope: unknown; review eligibility: not_applicable. No exact-product FDA safety action matched this identity.,searched,no_exact_action_found,unknown,,not_applicable,Exact base/package configurations carry mixed distribution states.|Official distribution or listing states conflict.,https://us.erbe-med.com/fileadmin/user_upload/documents/PDF/Catalogs/complete_Catalogs/85100-100_EN_Product-catalog.pdf|https://api.fda.gov/device/udi.json?search=version_or_model_number%3A%2220132-252%22&limit=100|https://api.fda.gov/device/udi.json?search=catalog_number%3A%2220132-252%22&limit=100|https://api.fda.gov/device/udi.json?search=version_or_model_number%3A%2220132-252%22&limit=100|https://api.fda.gov/device/udi.json?search=identifiers.id%3A%2204050147024458%22&limit=100|https://api.fda.gov/device/udi.json?search=catalog_number%3A%2220132-252%22&limit=100|https://api.fda.gov/device/510k.json?search=k_number%3A%22K183445%22&limit=100|https://api.fda.gov/device/classification.json?search=product_code%3A%22GEI%22&limit=100|https://api.fda.gov/device/registrationlisting.json?search=k_number%3A%22K183445%22&limit=100|https://api.fda.gov/device/enforcement.json?search=code_info%3A%2204050147018150%22&limit=100|https://api.fda.gov/device/enforcement.json?search=code_info%3A%2204050147024465%22&limit=100|https://api.fda.gov/device/enforcement.json?search=code_info%3A%2204050147018204%22&limit=100|https://api.fda.gov/device/enforcement.json?search=product_description%3A%2220132-252%22&limit=100|https://api.fda.gov/device/enforcement.json?search=code_info%3A%2204050147024458%22&limit=100|https://api.fda.gov/device/recall.json?search=product_description%3A%2220132-252%22&limit=100|https://api.fda.gov/device/recall.json?search=k_numbers%3A%22K183445%22&limit=100|https://api.fda.gov/device/recall.json?search=code_info%3A%2204050147024465%22&limit=100|https://api.fda.gov/device/recall.json?search=code_info%3A%2204050147024458%22&limit=100|https://api.fda.gov/device/recall.json?search=code_info%3A%2204050147018150%22&limit=100|https://api.fda.gov/device/recall.json?search=code_info%3A%2204050147018204%22&limit=100,keep_hidden_conflicting,pending,,false,,,false
