rule_id,source_product_or_role,relationship,target_product_or_role,rule_text,verification_status,source_id
CMP-96DFBE173A,AIRWAY_BALLOON_DILATOR,uses product role,INFLATION_DEVICE,CRE catalog names Alliance II and CRE SteriFlate inflation devices.,Verified - manufacturer catalog,SRC003
CMP-C03EB3CD4E,AIRWAY_BALLOON_DILATOR,uses product role,PULMONARY_GUIDEWIRE,CRE catalog states 0.035 in guidewire compatibility.,Verified - manufacturer catalog,SRC003
CMP-18FAEABA17,APC_PROBE_FLEX,requires platform,ERBE APC/VIO,ERBE APC catalog lists FiAPC probes as system-specific accessories requiring a compatible ERBE APC/VIO platform.,Verified exact catalog entry - non-U.S. source,SRC019
CMP-51A9DCD151,BCV1-02,requires platform,SYS-5100,Olympus catalog lists the H-SteriScope family with the SPiN Vision video processor.,Verified - manufacturer catalog,SRC012
CMP-4D2D1C3C21,BCV1-C2,requires platform,SYS-5100,Olympus catalog lists the H-SteriScope family with the SPiN Vision video processor.,Verified - manufacturer catalog,SRC012
CMP-8A6889C3C9,BCV1-M2,requires platform,SYS-5100,Olympus catalog lists the H-SteriScope family with the SPiN Vision video processor.,Verified - manufacturer catalog,SRC012
CMP-B222A5C28B,BCV1-S2,requires platform,SYS-5100,Olympus catalog lists the H-SteriScope family with the SPiN Vision video processor.,Verified - manufacturer catalog,SRC012
CMP-57D193896C,BCV1-W2,requires platform,SYS-5100,Olympus catalog lists the H-SteriScope family with the SPiN Vision video processor.,Verified - manufacturer catalog,SRC012
CMP-24006B9A46,BF-UC190F,compatible processor,EU-ME2,Manufacturer brochure lists operation with Olympus EU-ME2 Premier Plus.,Verified - manufacturer brochure,SRC002
CMP-4BD70557AC,BF-UC190F,uses accessory,MAJ-1351,Manufacturer brochure states balloon MAJ-1351 can be used with BF-UC190F.,Verified - manufacturer brochure,SRC002
CMP-E527CB22E1,BF-UC190F,uses accessory,MAJ-2056,Manufacturer brochure names MAJ-2056 as the detachable ultrasound cable.,Verified - manufacturer brochure,SRC002
CMP-E51941CB0F,CRYOPROBE_FLEX,requires platform,ERBECRYO 2,ERBE cryosurgery catalog lists these flexible cryoprobes for the ERBECRYO 2 system.,Verified exact catalog entry - non-U.S. source,SRC018
CMP-B8D2AF56C3,DUTAU NOVATECH,compatible system,TONN NOVATECH,Catalog states DUTAU modular bronchoscope is compatible with TONN stent applicator.,Verified - manufacturer catalog,SRC001
CMP-61818E81AF,EBUS_SCOPE,accepts product role,EBUS_NEEDLE_FNA,Confirm exact scope/needle adapter and current IFU.,Rule - requires verification,SRC003
CMP-FFA5337BF8,EBUS_SCOPE,accepts product role,EBUS_NEEDLE_FNB,Confirm exact scope/needle adapter and current IFU.,Rule - requires verification,SRC003
RULE-E379A6F63C,ENDOBRONCHIAL_BLOCKER,requires,FLEX_SCOPE_DIAGNOSTIC,Select blocker size using minimum ETT internal diameter and maximum bronchoscope outer diameter from manufacturer table.,Verified - manufacturer brochure,SRC023
CMP-EA5047980C,G07467,compatible with,Thal-Quick Chest Tube Set and Tray,Cook manufacturer page states the Thal-Quick Chest Tube Adapter is compatible with the Thal-Quick Chest Tube Set and Tray.,Verified product-family compatibility - manufacturer page,SRC020
CMP-9347ED4D6F,K-401,compatible with,UM-S20-17S,Olympus respiratory catalog lists guide-sheath compatibility with radial probe UM-S20-17S.,Verified - manufacturer catalog,SRC012
CMP-815DE7A42A,K-402,compatible with,UM-S20-17S,Olympus respiratory catalog lists guide-sheath compatibility with radial probe UM-S20-17S.,Verified - manufacturer catalog,SRC012
CMP-C9DF0E15EF,M00515220,compatible scope family,EBUS_SCOPE,"Boston Scientific catalog states CoreDx compatibility with Olympus, Pentax, and Fuji EBUS scopes.",Verified - manufacturer catalog,SRC003
CMP-79A6DF56AE,NA-201SX-4021,uses accessory,MAJ-1414,Olympus catalog lists MAJ-1414 adapter/biopsy valve for this ViziShot needle family.,Verified - manufacturer catalog,SRC012
CMP-F787728FF5,NA-201SX-4022-A,uses accessory,MAJ-1414,Olympus catalog lists MAJ-1414 adapter/biopsy valve for this ViziShot needle family.,Verified - manufacturer catalog,SRC012
CMP-69C1F0E07C,NA-201SX-4022-B,uses accessory,MAJ-1414,Olympus catalog lists MAJ-1414 adapter/biopsy valve for this ViziShot needle family.,Verified - manufacturer catalog,SRC012
