slot_id,procedure_code,section,display_order,role_code,slot_label,generic_requirement,requiredness,default_qty,selection_mode,allow_custom,dependency_rule,notes
SLOT-42AC1F18B2,ICU_BRONCH,Platform,1,FLEX_SCOPE_SINGLE_USE,Bronchoscope (single-use or reusable),"Disposable flexible bronchoscope for ICU, OR, or isolation workflows.",Required,1,Single,Yes,,Choose OD/channel for ETT/trach and planned suction/sampling.
SLOT-7BAF2FC882,ICU_BRONCH,Platform,2,VIDEO_PROCESSOR,Compatible display/processor,"Video processor, light source, or integrated display platform.",Required,1,Single,Yes,,
SLOT-B6ED05FBC7,ICU_BRONCH,Ventilation,3,GENERIC_AIRWAY_ADAPTER,Bronchoscopy swivel/airway adapter,"Swivel, bronchoscopy, or ventilation adapter.",Required,1,Single,Yes,,
SLOT-49FB14CBF6,ICU_BRONCH,Suction,4,GENERIC_SUCTION,"Suction source, tubing, and canister",Generic suction setup.,Required,1,Single,Yes,,
SLOT-8790F5F0AE,ICU_BRONCH,Sampling,5,SPECIMEN_TRAP,BAL/wash specimen trap,"Sterile trap for BAL, wash, or secretion collection.",Required,1,Single,Yes,,
SLOT-5D918DA83D,ICU_BRONCH,Sampling,6,GENERIC_SPECIMEN,"Lab containers, labels, and transport bag","Laboratory containers, labels, and transport materials.",Required,1,Multiple,Yes,,
SLOT-B138BA994E,ICU_BRONCH,Sampling,7,BIOPSY_FORCEPS_FLEX,Biopsy forceps,Single-use or reusable forceps for endobronchial/transbronchial biopsy.,Optional,1,Single,Yes,Planned biopsy,
SLOT-4CC66ADF82,ICU_BRONCH,Sampling,8,CYTOLOGY_BRUSH,Cytology or microbiology brush,Covered or uncovered brush for airway cytology or microbiology.,Optional,1,Single,Yes,Planned brushing,
SLOT-53400A7A7C,ICU_BRONCH,Retrieval,9,FOREIGN_BODY_FORCEPS_FLEX,Flexible grasping forceps,Flexible forceps for foreign body or tissue retrieval.,Conditional,1,Single,Yes,Mucus plug/foreign material anticipated,
SLOT-1A3A9B71B1,ICU_BRONCH,Infection control,10,GENERIC_PPE,Procedure PPE,Procedure and isolation PPE.,Required,1,Multiple,Yes,,Follow local isolation status.
SLOT-3BE665D0CA,ICU_BRONCH,Post-procedure,11,BRONCH_REPROCESSING_KIT,Reusable scope bedside pre-cleaning/transport kit,Single-use kit supporting bedside pre-cleaning/transport.,Conditional,1,Single,Yes,Reusable bronchoscope selected,
SLOT-63E328321A,ICU_BRONCH,Sampling,12,BAL_KIT,BAL convenience tubing/kit,Select tubing/anti-reflux kit compatible with the scope and specimen workflow.,Optional,1,Single select,Yes,,
SLOT-C46D25AF46,TB_RULEOUT,Isolation,1,GENERIC_PPE,Airborne-isolation PPE,Procedure and isolation PPE.,Required,1,Multiple,Yes,,Local infection-control policy controls.
SLOT-0F96B1FA45,TB_RULEOUT,Platform,2,FLEX_SCOPE_SINGLE_USE,Bronchoscope for isolation workflow,"Disposable flexible bronchoscope for ICU, OR, or isolation workflows.",Required,1,Single,Yes,,Single-use may simplify isolation/reprocessing logistics; local policy controls.
SLOT-A19D105581,TB_RULEOUT,Platform,3,VIDEO_PROCESSOR,Compatible display/processor,"Video processor, light source, or integrated display platform.",Required,1,Single,Yes,,
SLOT-763A2D63F1,TB_RULEOUT,Ventilation,4,GENERIC_AIRWAY_ADAPTER,Airway adapter if mechanically ventilated,"Swivel, bronchoscopy, or ventilation adapter.",Conditional,1,Single,Yes,Mechanically ventilated patient,
SLOT-2943D859CB,TB_RULEOUT,Suction,5,GENERIC_SUCTION,Closed suction tubing and canister,Generic suction setup.,Required,1,Single,Yes,,
SLOT-46FDDCCF7C,TB_RULEOUT,Sampling,6,SPECIMEN_TRAP,BAL/wash specimen trap,"Sterile trap for BAL, wash, or secretion collection.",Required,1,Single,Yes,,
SLOT-D73F3C8E6D,TB_RULEOUT,Sampling,7,GENERIC_SPECIMEN,"AFB/microbiology containers, labels, and sealed transport","Laboratory containers, labels, and transport materials.",Required,1,Multiple,Yes,,Exact containers and testing sequence are laboratory-specific.
SLOT-2E7FF49D2D,TB_RULEOUT,Sampling,8,CYTOLOGY_BRUSH,Protected microbiology/cytology brush,Covered or uncovered brush for airway cytology or microbiology.,Optional,1,Single,Yes,Additional diagnostic target,
