role_code,category,role_name,description,selection_guidance,requires_current_ifu
INFLATION_DEVICE,Airway dilation,Balloon inflation device,Reusable or single-use inflation device for balloon dilation.,Match balloon system and pressure requirements.,Yes
AIRWAY_BALLOON_DILATOR,Airway dilation,Pulmonary balloon dilator,Balloon catheter for airway stricture dilation.,"Filter by diameter range, balloon length, guidewire, and inflation device.",Yes
ENDOBRONCHIAL_BLOCKER,Airway isolation,Endobronchial blocker,Bronchoscopically guided bronchial blocker for lung isolation.,Match blocker Fr size to ETT internal diameter and bronchoscope outer diameter; verify balloon and adapter compatibility.,Yes
DLT_LEFT,Airway isolation,Left double-lumen tube,Left-sided double-lumen endobronchial tube.,Filter by French size and bronchoscope compatibility.,Yes
DLT_RIGHT,Airway isolation,Right double-lumen tube,Right-sided double-lumen endobronchial tube.,Usually a backup/selected-anatomy option; filter by French size.,Yes
AIRWAY_STENT_SEMS_COVERED,Airway stent,Covered or partially covered SEMS,Self-expanding metallic tracheobronchial stent with covering.,"Filter by diameter, length, delivery profile, coverage, and release direction.",Yes
AIRWAY_STENT_SILICONE_HOURGLASS,Airway stent,Hourglass silicone stent,Hourglass-shaped silicone stent for selected stenoses.,"Filter by proximal, waist, distal diameters, and segment lengths.",Yes
AIRWAY_STENT_PATIENT_SPECIFIC,Airway stent,Patient-specific airway stent service,Custom stent design/manufacturing service.,"Treat as a service workflow, not an off-the-shelf SKU.",Yes
AIRWAY_STENT_SILICONE_Y,Airway stent,Silicone Y stent,Bifurcation silicone stent.,Filter by tracheal/bronchial diameters and limb lengths.,Yes
AIRWAY_STENT_SILICONE_STRAIGHT,Airway stent,Straight silicone airway stent,Straight tracheal or bronchial silicone stent.,"Filter by model, outer diameter, length, wall thickness, and radiopaque option.",Yes
AIRWAY_STENT_SEMS_UNCOVERED,Airway stent,Uncovered SEMS,Uncovered self-expanding metallic tracheobronchial stent.,"Filter by diameter, length, delivery profile, and release direction.",Yes
STENT_APPLICATOR,Airway stent accessory,Silicone stent applicator,Applicator/loading system for silicone airway stents.,"Match stent model, dimensions, and rigid bronchoscope.",Yes
AIRWAY_STENT_SIZING_DEVICE,Airway stenting,Airway stent sizing device,Device used to estimate airway stricture diameter or length for stent selection.,"Verify measurement method, channel, guidewire, and intended stent family.",Yes
BITE_BLOCK,Bronchoscopy accessory,Bite block,Single-use or reusable bite block used to protect the scope and patient.,Match maximum endoscope outer diameter and local reprocessing policy.,Yes
FLEX_SCOPE_DIAGNOSTIC,Bronchoscopy platform,Diagnostic flexible bronchoscope,Reusable or single-use flexible bronchoscope suitable for diagnostic bronchoscopy.,"Filter by outer diameter, working channel, image platform, and single-use/reusable preference.",Yes
ENDOSCOPY_CART,Bronchoscopy platform,Endoscopy system cart,Cart or mobile stand for an endoscopy video/ultrasound platform.,Match the processor/display platform and facility equipment policy.,Yes
FLEX_SCOPE_SINGLE_USE,Bronchoscopy platform,Single-use flexible bronchoscope,"Disposable flexible bronchoscope for ICU, OR, or isolation workflows.","Filter by outer diameter, channel, ETT/DLT compatibility, and display platform.",Yes
FLEX_SCOPE_THERAPEUTIC,Bronchoscopy platform,Therapeutic flexible bronchoscope,Flexible bronchoscope with a larger working channel for therapeutic accessories and suction.,Filter by channel requirement of planned accessories and airway size.,Yes
BAL_KIT,Bronchoscopy sampling,BAL kit,Packaged tubing or accessory kit for bronchoalveolar lavage.,"Verify connectors, anti-reflux features, specimen collection, and scope compatibility.",Yes
EBUS_BALLOON,EBUS accessory,EBUS balloon,Distal balloon used for acoustic coupling during EBUS.,Match the EBUS scope model and IFU.,Yes
EBUS_NEEDLE_ADAPTER,EBUS accessory,EBUS needle adapter or biopsy valve,Adapter/biopsy valve required by a specific EBUS needle family.,Match the exact needle family and scope model; do not infer cross-family compatibility.,Yes
ULTRASOUND_CABLE,EBUS accessory,Ultrasound cable,Cable linking EBUS scope and ultrasound processor.,Match scope and processor.,Yes
ULTRASOUND_PROCESSOR,EBUS platform,Endoscopic ultrasound processor,Ultrasound console used with the EBUS scope.,Must match scope and cable.,Yes
EBUS_SCOPE,EBUS platform,Linear EBUS bronchoscope,Linear ultrasound bronchoscope for EBUS-TBNA/FNB.,"Match ultrasound processor, cable, balloon, needle system, and channel requirements.",Yes
GENERIC_COLLATERAL_VENT,Endobronchial valve,Collateral ventilation assessment system,Platform/catheter for collateral ventilation assessment.,Match selected valve workflow and local protocol.,Yes
EBV_VALVE,Endobronchial valve,Endobronchial valve,One-way endobronchial valve implant.,Match airway sizing workflow and manufacturer deployment system.,Yes
EBV_SIZING_BALLOON,Endobronchial valve,Endobronchial valve sizing balloon catheter,Balloon catheter used for airway sizing in an endobronchial valve workflow.,"Match the valve system, scope channel, balloon diameter, and working length.",Yes
EBV_SIZING_KIT,Endobronchial valve,Endobronchial valve sizing kit,Kit used to size target airways before endobronchial valve deployment.,"Match valve family, sizing catheter/balloon, channel, and current IFU.",Yes
EBV_DELIVERY_CATHETER,Endobronchial valve,Valve deployment catheter,Deployment catheter for endobronchial valves.,"Match valve family, size, scope channel, and anatomy.",Yes
ENDOSCOPIC_IRRIGATION_PUMP,Endoscopy platform,Endoscopic irrigation pump,Pump for irrigation or flushing during endoscopy.,"Match tubing set, connector, pressure/flow range, and endoscope platform.",Yes
ENDOSCOPIC_SUCTION_PUMP,Endoscopy platform,Endoscopic suction pump,Dedicated suction pump or simple suction unit used with endoscopy.,"Match canister, tubing, vacuum range, and infection-control workflow.",Yes
VIDEO_PROCESSOR,Endoscopy platform,Video processor / light source,"Video processor, light source, or integrated display platform.",Must match the selected reusable or single-use bronchoscope.,Yes
GENERIC_ENERGY_PLATFORM,Generic equipment,Energy/hemostasis platform,"APC, electrocautery, laser, or other energy platform.","Match intended modality, probe, grounding/airway-fire protocol, and local credentialing.",Yes
GENERIC_ULTRASOUND,Generic equipment,Ultrasound machine/probe cover,Ultrasound platform and sterile probe cover.,Hospital-specific platform.,Yes
GENERIC_AIRWAY_ADAPTER,Generic supply,Airway bronchoscopy adapter,"Swivel, bronchoscopy, or ventilation adapter.",Match ETT/DLT/tracheostomy tube and ventilation circuit.,Yes
GENERIC_DRAINAGE_UNIT,Generic supply,Pleural drainage unit,Wet or dry suction chest drainage unit.,Hospital formulary item.,Yes
GENERIC_PPE,Generic supply,PPE / isolation supplies,Procedure and isolation PPE.,Hospital infection-control policy.,Yes
GENERIC_SPECIMEN,Generic supply,Specimen containers/labels,"Laboratory containers, labels, and transport materials.",Hospital and laboratory-specific item.,Yes
GENERIC_SUCTION,Generic supply,Suction source/tubing/canister,Generic suction setup.,Hospital-specific item.,Yes
PULMONARY_GUIDEWIRE,Guidewire,Pulmonary guidewire,Guidewire used for airway stent or balloon delivery.,Match diameter and device IFU.,Yes
ENDOSCOPY_LIGHT_CABLE,Imaging platform,Endoscopy light cable,Fiber-optic light cable or platform-specific light connection.,Match endoscope-side and light-source-side connectors and cable diameter.,Yes
